,production_date,mileage,model_date,carconfig,colour,transmission,drive_unit,wheel,owners,licence,brand,model_name,age,engine_displacement,power,fuel_type,number_of_doors,price,test
1128,2007,259000,VIII 2005 – 2009 ,седан,серый,механическая,передний,Левый,3 или более,Оригинал,Honda ,Civic ,,1.8 LTR ,140, Бензин,4,399000,0
1129,2013,147424,I 2011 – 2018 ,седан,пурпурный,механическая,передний,Левый,2 владельца,Оригинал,LADA (ВАЗ) ,Granta ,,1.6 LTR ,87, Бензин,4,246000,0
1130,2011,127000,III (XA30) Рестайлинг 2010 – 2014 ,внедорожник 5 дв.,белый,вариатор,полный,Левый,2 владельца,Оригинал,Toyota ,RAV4 ,,2.0 LTR ,148, Бензин,5,1229000,0
1131,2008,190000,III (C6) 2004 – 2008 ,седан,чёрный,автоматическая,полный,Левый,3 или более,Оригинал,Audi ,A6 ,,3.0 LTR ,233, Дизель,4,689000,0
1132,2015,54000,2015 – н.в. ,внедорожник 5 дв.,серый,механическая,передний,Левый,2 владельца,Оригинал,Lifan ,X50 ,,1.5 LTR ,103, Бензин,5,499000,0
1133,2011,197864,I 2007 – 2011 ,внедорожник 5 дв.,чёрный,автоматическая,полный,Левый,1 владелец,Оригинал,Volkswagen ,Tiguan ,,2.0 LTR ,170, Бензин,5,785000,0
1134,2014,118885,I 2010 – 2014 ,хэтчбек 5 дв.,серый,автоматическая,передний,Левый,2 владельца,Оригинал,Hyundai ,Solaris ,,1.6 LTR ,123, Бензин,5,659000,0
1135,2011,179000,IV (C7) 2011 – 2014 ,седан,серый,роботизированная,полный,Левый,3 или более,Оригинал,Audi ,A6 ,,3.0 LTR ,300, Бензин,4,1250000,0
1136,2014,84989,I 2010 – 2014 ,хэтчбек 5 дв.,чёрный,механическая,передний,Левый,1 владелец,Оригинал,Hyundai ,Solaris ,,1.6 LTR ,123, Бензин,5,631800,0
1137,2012,195762,II Рестайлинг 2010 – 2015 ,внедорожник 5 дв.,серый,вариатор,полный,Левый,1 владелец,Оригинал,Nissan ,X-Trail ,,2.0 LTR ,141, Бензин,5,1029000,0
1138,2013,117977,II 2012 – 2016 ,внедорожник 5 дв.,золотистый,автоматическая,полный,Левый,3 или более,Оригинал,Ford ,Kuga ,,1.6 LTR ,182, Бензин,5,1080000,0
1139,2013,83000,III 2011 – 2015 ,седан,серый,автоматическая,передний,Левый,3 или более,Дубликат,Kia ,Rio ,,1.4 LTR ,107, Бензин,4,500000,0
1140,2014,87459,I 2011 – 2018 ,лифтбек,синий,механическая,передний,Левый,1 владелец,Оригинал,LADA (ВАЗ) ,Granta ,,1.6 LTR ,87, Бензин,5,333000,0
1141,2015,110000,I 1993 – 2019 ,внедорожник 5 дв.,белый,механическая,полный,Левый,1 владелец,Оригинал,LADA (ВАЗ) ,2131 (4x4) ,,1.7 LTR ,83," Бензин, газобаллонное оборудование",5,380000,0
1142,2017,148000,I 2012 – 2017 ,лифтбек,белый,механическая,передний,Левый,1 владелец,Оригинал,Skoda ,Rapid ,,1.6 LTR ,90, Бензин,5,450000,0
1143,2019,13743,I 2017 – н.в. ,лифтбек,красный,автоматическая,полный,Левый,2 владельца,Оригинал,Kia ,Stinger ,,2.0 LTR ,197, Бензин,5,2229000,0
1144,2006,201000,I (GG) Рестайлинг 2005 – 2008 ,седан,синий,автоматическая,передний,Левый,3 или более,Дубликат,Mazda ,6 ,,2.0 LTR ,147, Бензин,4,467000,0
1145,2016,142000,I Рестайлинг 2013 – 2018 ,седан,белый,механическая,передний,Левый,2 владельца,Оригинал,LADA (ВАЗ) ,Priora ,,1.6 LTR ,106, Бензин,4,375000,0
1146,2019,22000,I 2017 – н.в. ,внедорожник 5 дв.,бежевый,автоматическая,передний,Левый,1 владелец,Оригинал,Skoda ,Karoq ,,1.4 LTR ,150, Бензин,5,1929900,0
1147,2015,160000,I Рестайлинг 2013 – 2017 ,внедорожник 5 дв.,серебристый,автоматическая,полный,Левый,1 владелец,Оригинал,Volvo ,XC60 ,,2.4 LTR ,181, Дизель,5,1775000,0
1148,2019,13743,I 2017 – н.в. ,лифтбек,красный,автоматическая,полный,Левый,2 владельца,Оригинал,Kia ,Stinger ,,2.0 LTR ,197, Бензин,5,2229000,0
1149,2018,87000,VI Рестайлинг 2017 – 2020 ,седан,синий,вариатор,полный,Левый,1 владелец,Оригинал,Subaru ,Legacy ,,2.5 LTR ,175, Бензин,4,1849000,0
1150,2013,111500,IV (CA40) 2012 – 2015 ,внедорожник 5 дв.,зелёный,вариатор,передний,Левый,2 владельца,Оригинал,Toyota ,RAV4 ,,2.0 LTR ,146, Бензин,5,1309000,0
1151,2018,45179,II 2012 – 2018 ,седан,красный,механическая,передний,Левый,1 владелец,Оригинал,Renault ,Logan ,,1.6 LTR ,113, Бензин,4,615000,0
1152,2015,76479,I (8U) Рестайлинг 2014 – 2018 ,внедорожник 5 дв.,белый,роботизированная,полный,Левый,3 или более,Оригинал,Audi ,Q3 ,,2.0 LTR ,180, Бензин,5,1658000,0
1153,2017,97000,IV 2017 – 2020 ,седан,красный,автоматическая,передний,Левый,1 владелец,Оригинал,Kia ,Rio ,,1.6 LTR ,123, Бензин,4,819000,0
1154,2017,138813,VII (XV50) Рестайлинг 2014 – 2017 ,седан,чёрный,автоматическая,передний,Левый,1 владелец,Оригинал,Toyota ,Camry ,,2.5 LTR ,181, Бензин,4,1650000,0
1155,2006,201000,I (GG) Рестайлинг 2005 – 2008 ,седан,синий,автоматическая,передний,Левый,3 или более,Дубликат,Mazda ,6 ,,2.0 LTR ,147, Бензин,4,467000,0
1156,2018,26772,III (A7) Рестайлинг 2017 – 2020 ,универсал 5 дв.,белый,механическая,передний,Левый,1 владелец,Оригинал,Skoda ,Octavia ,,1.6 LTR ,110, Бензин,5,1250000,0
1157,2014,108000,I Рестайлинг 2 2013 – 2016 ,внедорожник 5 дв.,чёрный,механическая,полный,Левый,1 владелец,Оригинал,Chevrolet ,Captiva ,,2.4 LTR ,167, Бензин,5,1025000,0
1158,2016,152940,II 2014 – 2019 ,внедорожник 5 дв.,голубой,автоматическая,полный,Левый,1 владелец,Оригинал,Suzuki ,Vitara ,,1.4 LTR ,140, Бензин,5,1267000,0
1159,2015,58432,I Рестайлинг 2014 – 2017 ,седан,красный,автоматическая,передний,Левый,1 владелец,Оригинал,Hyundai ,Solaris ,,1.6 LTR ,123, Бензин,4,730000,0
1160,2014,188000,IV 2012 – 2015 ,внедорожник 5 дв.,зелёный,вариатор,полный,Левый,1 владелец,Оригинал,Subaru ,Forester ,6 лет и 11 месяцев,2.0 LTR ,241, Бензин,5,1449000,0
1161,2007,153000,I 2004 – 2014 ,хэтчбек 5 дв.,серый,автоматическая,передний,Левый,2 владельца,Оригинал,Citroen ,C4 ,,1.6 LTR ,109, Бензин,5,222222,0
1162,2013,98000,IV (WK2) Рестайлинг 2013 – н.в. ,внедорожник 5 дв.,белый,автоматическая,полный,Левый,2 владельца,Оригинал,Jeep ,Grand Cherokee ,,3.6 LTR ,286, Бензин,5,2250000,0
1163,2007,148845,II 2006 – 2010 ,внедорожник 5 дв.,серый,автоматическая,полный,Левый,3 или более,Оригинал,Land Rover ,Freelander ,,2.2 LTR ,160, Дизель,5,719000,0
1164,2012,150681,I 2010 – 2015 ,компактвэн,серый,автоматическая,передний,Левый,3 или более,Дубликат,Chevrolet ,Orlando ,,1.8 LTR ,141, Бензин,5,899890,0
1165,2013,212000,III Рестайлинг 2011 – 2013 ,внедорожник 5 дв.,серебристый,механическая,полный,Левый,2 владельца,Оригинал,Subaru ,Forester ,,2.0 LTR ,150, Бензин,5,1099000,0
1166,2016,98000,III Рестайлинг 2014 – 2019 ,хэтчбек 5 дв.,чёрный,роботизированная,передний,Левый,1 владелец,Оригинал,Ford ,Focus ,,1.6 LTR ,105, Бензин,5,729000,0
1167,2014,109000,III (A7) 2013 – 2017 ,лифтбек,коричневый,роботизированная,передний,Левый,1 владелец,Оригинал,Skoda ,Octavia ,,1.4 LTR ,140, Бензин,5,799000,0
1168,2018,101270,I 2012 – н.в. ,универсал 5 дв.,коричневый,механическая,передний,Левый,1 владелец,Оригинал,LADA (ВАЗ) ,Largus ,,1.6 LTR ,106," Бензин, газобаллонное оборудование",5,706300,0
1169,2018,83000,II Рестайлинг 2017 – н.в. ,внедорожник 5 дв.,синий,механическая,передний,Левый,1 владелец,Оригинал,Nissan ,Qashqai ,,1.3 LTR ,140, Бензин,5,1540000,0
1170,2004,177000,I 2002 – 2009 ,внедорожник 5 дв.,синий,автоматическая,полный,Левый,3 или более,Оригинал,Lexus ,GX ,,4.7 LTR ,235, Бензин,5,1520000,0
1171,2015,96152,III 2012 – 2016 ,внедорожник 5 дв.,чёрный,автоматическая,полный,Левый,2 владельца,Оригинал,Hyundai ,Santa Fe ,,2.4 LTR ,175, Бензин,5,1635000,0
1172,2012,77523,D Рестайлинг II 2011 – 2014 ,хэтчбек 5 дв.,белый,механическая,передний,Левый,2 владельца,Оригинал,Opel ,Corsa ,,1.2 LTR ,85, Бензин,5,399000,0
1173,2003,250000,I (C5) 2000 – 2006 ,универсал 5 дв.,серый,автоматическая,полный,Левый,1 владелец,Оригинал,Audi ,A6 allroad ,,2.7 LTR ,250, Бензин,5,570000,0
1174,2018,46000,II 2012 – 2018 ,седан,белый,механическая,передний,Левый,1 владелец,Оригинал,Renault ,Logan ,,1.6 LTR ,82, Бензин,4,599990,0
1175,2018,35000,I Рестайлинг 1993 – 2020 ,внедорожник 3 дв.,оранжевый,механическая,полный,Левый,1 владелец,Оригинал,LADA (ВАЗ) ,2121 (4x4) ,,1.7 LTR ,83, Бензин,3,485000,0
